#    x        Cp  
   1.00000  0.21343
   0.99286  0.18996
   0.98019  0.14701
   0.96525  0.10207
   0.94859  0.05812
   0.93088  0.01720
   0.91264 -0.02008
   0.89413 -0.05390
   0.87550 -0.08477
   0.85680 -0.11382
   0.83807 -0.14069
   0.81931 -0.16621
   0.80053 -0.19069
   0.78174 -0.21403
   0.76294 -0.23683
   0.74413 -0.25878
   0.72531 -0.28030
   0.70648 -0.30165
   0.68765 -0.32249
   0.66882 -0.34332
   0.64999 -0.36387
   0.63116 -0.38453
   0.61234 -0.40509
   0.59352 -0.42578
   0.57471 -0.44660
   0.55592 -0.46753
   0.53714 -0.48883
   0.51837 -0.51036
   0.49963 -0.53236
   0.48091 -0.55488
   0.46222 -0.57792
   0.44356 -0.60184
   0.42496 -0.62691
   0.40644 -0.65440
   0.38807 -0.68514
   0.36982 -0.71139
   0.35166 -0.73561
   0.33356 -0.75817
   0.31554 -0.77877
   0.29759 -0.79686
   0.27973 -0.81576
   0.26197 -0.85721
   0.24431 -0.88668
   0.22679 -0.90266
   0.20941 -0.92150
   0.19220 -0.94126
   0.17521 -0.96104
   0.15847 -0.98091
   0.14206 -1.00046
   0.12607 -1.02043
   0.11063 -1.03990
   0.09593 -1.05989
   0.08220 -1.07994
   0.06968 -1.09940
   0.05855 -1.11781
   0.04888 -1.13568
   0.04063 -1.15077
   0.03364 -1.16279
   0.02772 -1.17058
   0.02271 -1.17317
   0.01843 -1.16827
   0.01478 -1.15334
   0.01165 -1.12513
   0.00897 -1.07902
   0.00668 -1.01085
   0.00476 -0.90816
   0.00318 -0.76801
   0.00192 -0.58219
   0.00098 -0.34638
   0.00036 -0.07848
   0.00005  0.20246
   0.00002  0.46462
   0.00028  0.69311
   0.00087  0.87071
   0.00181  0.97162
   0.00310  0.99989
   0.00474  0.97182
   0.00674  0.90936
   0.00909  0.82885
   0.01183  0.74364
   0.01498  0.65822
   0.01860  0.57796
   0.02278  0.50220
   0.02762  0.43339
   0.03327  0.37032
   0.03989  0.31279
   0.04771  0.26129
   0.05694  0.21559
   0.06774  0.17597
   0.08017  0.14286
   0.09412  0.11546
   0.10935  0.09470
   0.12556  0.07851
   0.14250  0.06681
   0.15997  0.05837
   0.17782  0.05259
   0.19597  0.04888
   0.21435  0.04667
   0.23292  0.04572
   0.25164  0.04549
   0.27049  0.04604
   0.28946  0.04688
   0.30853  0.04814
   0.32768  0.04917
   0.34691  0.05040
   0.36620  0.05099
   0.38551  0.05108
   0.40480  0.04880
   0.42402  0.04770
   0.44324  0.04815
   0.46247  0.04935
   0.48173  0.05092
   0.50103  0.05301
   0.52035  0.05517
   0.53970  0.05758
   0.55907  0.06002
   0.57847  0.06275
   0.59788  0.06533
   0.61732  0.06805
   0.63677  0.07081
   0.65624  0.07353
   0.67572  0.07634
   0.69521  0.07911
   0.71470  0.08188
   0.73421  0.08483
   0.75371  0.08760
   0.77322  0.09051
   0.79273  0.09345
   0.81224  0.09616
   0.83174  0.09820
   0.85122  0.09803
   0.87069  0.11861
   0.89010  0.12826
   0.90939  0.13347
   0.92843  0.14016
   0.94689  0.14948
   0.96423  0.16261
   0.97969  0.17970
   0.99272  0.20812
   1.00000  0.21343
