#    x        Cp  
   1.00000  0.21596
   0.99286  0.19073
   0.98019  0.14524
   0.96525  0.09944
   0.94859  0.05580
   0.93088  0.01591
   0.91264 -0.02002
   0.89413 -0.05236
   0.87550 -0.08174
   0.85680 -0.10934
   0.83807 -0.13474
   0.81931 -0.15883
   0.80053 -0.18188
   0.78174 -0.20381
   0.76294 -0.22518
   0.74413 -0.24568
   0.72531 -0.26579
   0.70648 -0.28567
   0.68765 -0.30500
   0.66882 -0.32433
   0.64999 -0.34336
   0.63116 -0.36239
   0.61234 -0.38128
   0.59352 -0.40030
   0.57471 -0.41934
   0.55592 -0.43838
   0.53714 -0.45775
   0.51837 -0.47727
   0.49963 -0.49710
   0.48091 -0.51715
   0.46222 -0.53768
   0.44356 -0.55866
   0.42496 -0.58020
   0.40644 -0.60358
   0.38807 -0.62893
   0.36982 -0.64788
   0.35166 -0.66740
   0.33356 -0.71369
   0.31554 -0.73571
   0.29759 -0.75049
   0.27973 -0.76716
   0.26197 -0.78415
   0.24431 -0.80088
   0.22679 -0.81687
   0.20941 -0.83239
   0.19220 -0.84721
   0.17521 -0.86099
   0.15847 -0.87385
   0.14206 -0.88597
   0.12607 -0.89712
   0.11063 -0.90719
   0.09593 -0.91559
   0.08220 -0.92305
   0.06968 -0.92844
   0.05855 -0.93158
   0.04888 -0.93259
   0.04063 -0.92948
   0.03364 -0.92322
   0.02772 -0.91159
   0.02271 -0.89298
   0.01843 -0.86725
   0.01478 -0.83168
   0.01165 -0.78036
   0.00897 -0.71331
   0.00668 -0.62542
   0.00476 -0.50614
   0.00318 -0.35623
   0.00192 -0.16920
   0.00098  0.04966
   0.00036  0.28869
   0.00005  0.52075
   0.00002  0.71894
   0.00028  0.87756
   0.00087  0.97416
   0.00181  0.99952
   0.00310  0.96339
   0.00474  0.88676
   0.00674  0.79033
   0.00909  0.68912
   0.01183  0.59118
   0.01498  0.50000
   0.01860  0.41919
   0.02278  0.34531
   0.02762  0.28079
   0.03327  0.22284
   0.03989  0.17313
   0.04771  0.12925
   0.05694  0.09195
   0.06774  0.06031
   0.08017  0.03578
   0.09412  0.01653
   0.10935  0.00273
   0.12556 -0.00676
   0.14250 -0.01249
   0.15997 -0.01556
   0.17782 -0.01679
   0.19597 -0.01611
   0.21435 -0.01445
   0.23292 -0.01196
   0.25164 -0.00902
   0.27049 -0.00567
   0.28946 -0.00211
   0.30853  0.00154
   0.32768  0.00484
   0.34691  0.00805
   0.36620  0.01069
   0.38551  0.01249
   0.40480  0.01177
   0.42402  0.01237
   0.44324  0.01417
   0.46247  0.01687
   0.48173  0.01984
   0.50103  0.02319
   0.52035  0.02665
   0.53970  0.03030
   0.55907  0.03391
   0.57847  0.03772
   0.59788  0.04137
   0.61732  0.04502
   0.63677  0.04866
   0.65624  0.05205
   0.67572  0.05516
   0.69521  0.05736
   0.71470  0.05673
   0.73421  0.07606
   0.75371  0.08367
   0.77322  0.08608
   0.79273  0.08842
   0.81224  0.09146
   0.83174  0.09536
   0.85122  0.10026
   0.87069  0.10585
   0.89010  0.11268
   0.90939  0.12052
   0.92843  0.13053
   0.94689  0.14284
   0.96423  0.15870
   0.97969  0.17838
   0.99272  0.20763
   1.00000  0.21596
