#    x        Cp  
   1.00000  0.21221
   0.99286  0.18973
   0.98019  0.14829
   0.96525  0.10406
   0.94859  0.06016
   0.93088  0.01885
   0.91264 -0.01905
   0.89413 -0.05358
   0.87550 -0.08523
   0.85680 -0.11502
   0.83807 -0.14265
   0.81931 -0.16889
   0.80053 -0.19410
   0.78174 -0.21817
   0.76294 -0.24169
   0.74413 -0.26434
   0.72531 -0.28662
   0.70648 -0.30870
   0.68765 -0.33030
   0.66882 -0.35185
   0.64999 -0.37324
   0.63116 -0.39466
   0.61234 -0.41606
   0.59352 -0.43764
   0.57471 -0.45927
   0.55592 -0.48118
   0.53714 -0.50336
   0.51837 -0.52603
   0.49963 -0.54894
   0.48091 -0.57262
   0.46222 -0.59690
   0.44356 -0.62201
   0.42496 -0.64846
   0.40644 -0.67734
   0.38807 -0.70976
   0.36982 -0.73781
   0.35166 -0.76425
   0.33356 -0.78982
   0.31554 -0.81410
   0.29759 -0.83755
   0.27973 -0.85940
   0.26197 -0.87878
   0.24431 -0.89786
   0.22679 -0.93151
   0.20941 -0.97347
   0.19220 -0.99041
   0.17521 -1.01166
   0.15847 -1.03423
   0.14206 -1.05776
   0.12607 -1.08178
   0.11063 -1.10645
   0.09593 -1.13231
   0.08220 -1.15857
   0.06968 -1.18544
   0.05855 -1.21222
   0.04888 -1.23850
   0.04063 -1.26333
   0.03364 -1.28516
   0.02772 -1.30390
   0.02271 -1.31731
   0.01843 -1.32343
   0.01478 -1.32151
   0.01165 -1.30480
   0.00897 -1.27351
   0.00668 -1.21283
   0.00476 -1.12274
   0.00318 -0.98866
   0.00192 -0.80898
   0.00098 -0.56893
   0.00036 -0.28516
   0.00005  0.01872
   0.00002  0.30872
   0.00028  0.57319
   0.00087  0.78937
   0.00181  0.93136
   0.00310  0.99376
   0.00474  0.99266
   0.00674  0.94952
   0.00909  0.88306
   0.01183  0.80496
   0.01498  0.72553
   0.01860  0.64653
   0.02278  0.57193
   0.02762  0.50202
   0.03327  0.43659
   0.03989  0.37708
   0.04771  0.32234
   0.05694  0.27346
   0.06774  0.23012
   0.08017  0.19314
   0.09412  0.16272
   0.10935  0.13824
   0.12556  0.11917
   0.14250  0.10465
   0.15997  0.09375
   0.17782  0.08597
   0.19597  0.07998
   0.21435  0.07615
   0.23292  0.07352
   0.25164  0.07186
   0.27049  0.07101
   0.28946  0.07061
   0.30853  0.07062
   0.32768  0.07071
   0.34691  0.07083
   0.36620  0.07055
   0.38551  0.06982
   0.40480  0.06666
   0.42402  0.06491
   0.44324  0.06455
   0.46247  0.06513
   0.48173  0.06597
   0.50103  0.06744
   0.52035  0.06895
   0.53970  0.07076
   0.55907  0.07261
   0.57847  0.07473
   0.59788  0.07681
   0.61732  0.07893
   0.63677  0.08120
   0.65624  0.08341
   0.67572  0.08570
   0.69521  0.08804
   0.71470  0.09032
   0.73421  0.09285
   0.75371  0.09525
   0.77322  0.09785
   0.79273  0.10065
   0.81224  0.10353
   0.83174  0.10659
   0.85122  0.10993
   0.87069  0.11324
   0.89010  0.11626
   0.90939  0.11704
   0.92843  0.14049
   0.94689  0.15550
   0.96423  0.16750
   0.97969  0.18230
   0.99272  0.20924
   1.00000  0.21221
