#    x        Cp  
   1.00000  0.21740
   0.99286  0.19092
   0.98019  0.14379
   0.96525  0.09788
   0.94859  0.05505
   0.93088  0.01645
   0.91264 -0.01803
   0.89413 -0.04888
   0.87550 -0.07679
   0.85680 -0.10295
   0.83807 -0.12693
   0.81931 -0.14961
   0.80053 -0.17127
   0.78174 -0.19181
   0.76294 -0.21178
   0.74413 -0.23087
   0.72531 -0.24955
   0.70648 -0.26802
   0.68765 -0.28585
   0.66882 -0.30369
   0.64999 -0.32112
   0.63116 -0.33861
   0.61234 -0.35581
   0.59352 -0.37313
   0.57471 -0.39035
   0.55592 -0.40746
   0.53714 -0.42476
   0.51837 -0.44203
   0.49963 -0.45924
   0.48091 -0.47627
   0.46222 -0.49298
   0.44356 -0.50892
   0.42496 -0.52467
   0.40644 -0.54585
   0.38807 -0.60620
   0.36982 -0.61747
   0.35166 -0.63307
   0.33356 -0.64942
   0.31554 -0.66537
   0.29759 -0.68077
   0.27973 -0.69550
   0.26197 -0.70904
   0.24431 -0.72182
   0.22679 -0.73367
   0.20941 -0.74410
   0.19220 -0.75318
   0.17521 -0.76110
   0.15847 -0.76748
   0.14206 -0.77223
   0.12607 -0.77487
   0.11063 -0.77567
   0.09593 -0.77376
   0.08220 -0.76911
   0.06968 -0.76149
   0.05855 -0.75082
   0.04888 -0.73545
   0.04063 -0.71702
   0.03364 -0.69324
   0.02772 -0.66466
   0.02271 -0.62815
   0.01843 -0.58463
   0.01478 -0.53039
   0.01165 -0.46148
   0.00897 -0.37769
   0.00668 -0.27486
   0.00476 -0.14700
   0.00318  0.00628
   0.00192  0.18508
   0.00098  0.38356
   0.00036  0.58179
   0.00005  0.75980
   0.00002  0.89524
   0.00028  0.97901
   0.00087  0.99828
   0.00181  0.95329
   0.00310  0.86013
   0.00474  0.74247
   0.00674  0.62084
   0.00909  0.50499
   0.01183  0.40111
   0.01498  0.31009
   0.01860  0.23226
   0.02278  0.16477
   0.02762  0.10778
   0.03327  0.05912
   0.03989  0.01850
   0.04771 -0.01518
   0.05694 -0.04235
   0.06774 -0.06367
   0.08017 -0.07863
   0.09412 -0.08898
   0.10935 -0.09445
   0.12556 -0.09649
   0.14250 -0.09555
   0.15997 -0.09312
   0.17782 -0.08899
   0.19597 -0.08370
   0.21435 -0.07801
   0.23292 -0.07193
   0.25164 -0.06541
   0.27049 -0.05908
   0.28946 -0.05267
   0.30853 -0.04668
   0.32768 -0.04080
   0.34691 -0.03552
   0.36620 -0.03087
   0.38551 -0.02724
   0.40480 -0.02620
   0.42402 -0.02409
   0.44324 -0.02074
   0.46247 -0.01668
   0.48173 -0.01237
   0.50103 -0.00784
   0.52035 -0.00342
   0.53970  0.00083
   0.55907  0.00424
   0.57847  0.00531
   0.59788  0.02164
   0.61732  0.03347
   0.63677  0.03683
   0.65624  0.03931
   0.67572  0.04247
   0.69521  0.04625
   0.71470  0.05027
   0.73421  0.05490
   0.75371  0.05946
   0.77322  0.06439
   0.79273  0.06972
   0.81224  0.07524
   0.83174  0.08119
   0.85122  0.08783
   0.87069  0.09505
   0.89010  0.10341
   0.90939  0.11281
   0.92843  0.12442
   0.94689  0.13839
   0.96423  0.15599
   0.97969  0.17741
   0.99272  0.20713
   1.00000  0.21740
