#    x        Cp  
   1.00000  0.21779
   0.99286  0.19081
   0.98019  0.14308
   0.96525  0.09733
   0.94859  0.05501
   0.93088  0.01711
   0.91264 -0.01662
   0.89413 -0.04671
   0.87550 -0.07389
   0.85680 -0.09934
   0.83807 -0.12259
   0.81931 -0.14460
   0.80053 -0.16556
   0.78174 -0.18541
   0.76294 -0.20468
   0.74413 -0.22311
   0.72531 -0.24103
   0.70648 -0.25879
   0.68765 -0.27591
   0.66882 -0.29300
   0.64999 -0.30963
   0.63116 -0.32634
   0.61234 -0.34270
   0.59352 -0.35911
   0.57471 -0.37536
   0.55592 -0.39143
   0.53714 -0.40758
   0.51837 -0.42338
   0.49963 -0.43888
   0.48091 -0.45336
   0.46222 -0.46712
   0.44356 -0.48160
   0.42496 -0.51388
   0.40644 -0.55512
   0.38807 -0.57024
   0.36982 -0.58648
   0.35166 -0.60293
   0.33356 -0.61856
   0.31554 -0.63328
   0.29759 -0.64724
   0.27973 -0.66030
   0.26197 -0.67204
   0.24431 -0.68263
   0.22679 -0.69217
   0.20941 -0.70024
   0.19220 -0.70671
   0.17521 -0.71176
   0.15847 -0.71491
   0.14206 -0.71600
   0.12607 -0.71476
   0.11063 -0.71085
   0.09593 -0.70433
   0.08220 -0.69399
   0.06968 -0.68013
   0.05855 -0.66286
   0.04888 -0.64064
   0.04063 -0.61433
   0.03364 -0.58360
   0.02772 -0.54644
   0.02271 -0.50284
   0.01843 -0.44983
   0.01478 -0.38932
   0.01165 -0.31371
   0.00897 -0.22236
   0.00668 -0.11524
   0.00476  0.01419
   0.00318  0.16758
   0.00192  0.34026
   0.00098  0.52264
   0.00036  0.70082
   0.00005  0.84872
   0.00002  0.95178
   0.00028  0.99823
   0.00087  0.98002
   0.00181  0.90106
   0.00310  0.78224
   0.00474  0.64906
   0.00674  0.51738
   0.00909  0.39674
   0.01183  0.29229
   0.01498  0.20264
   0.01860  0.12952
   0.02278  0.06608
   0.02762  0.01389
   0.03327 -0.02846
   0.03989 -0.06447
   0.04771 -0.09127
   0.05694 -0.11284
   0.06774 -0.12874
   0.08017 -0.13851
   0.09412 -0.14351
   0.10935 -0.14474
   0.12556 -0.14262
   0.14250 -0.13856
   0.15997 -0.13276
   0.17782 -0.12591
   0.19597 -0.11842
   0.21435 -0.11032
   0.23292 -0.10247
   0.25164 -0.09411
   0.27049 -0.08630
   0.28946 -0.07838
   0.30853 -0.07099
   0.32768 -0.06401
   0.34691 -0.05759
   0.36620 -0.05207
   0.38551 -0.04739
   0.40480 -0.04563
   0.42402 -0.04268
   0.44324 -0.03881
   0.46247 -0.03438
   0.48173 -0.03028
   0.50103 -0.02738
   0.52035 -0.02094
   0.53970 -0.00081
   0.55907  0.00440
   0.57847  0.00754
   0.59788  0.01100
   0.61732  0.01512
   0.63677  0.01979
   0.65624  0.02461
   0.67572  0.02969
   0.69521  0.03477
   0.71470  0.03994
   0.73421  0.04541
   0.75371  0.05075
   0.77322  0.05637
   0.79273  0.06234
   0.81224  0.06850
   0.83174  0.07506
   0.85122  0.08229
   0.87069  0.09014
   0.89010  0.09916
   0.90939  0.10923
   0.92843  0.12157
   0.94689  0.13631
   0.96423  0.15469
   0.97969  0.17688
   0.99272  0.20674
   1.00000  0.21779
