Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
Fuselage	23.472481	11.075674	5.909351	2.896222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.000000	3.113402	4.520327
Main_Wing	33.213037	15.745016	1.945023	0.957723	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Canard	1.747063	0.753890	0.022478	0.010075	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Horizontal_Tail	6.182228	2.918909	0.173626	0.085147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Vertical_Tail	3.910014	1.804827	0.116952	0.056072	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
