Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Fuselage,23.472481,11.075674,5.909351,2.896222
Main_Wing,33.213037,15.745016,1.945023,0.957723
Canard,1.747063,0.753890,0.022478,0.010075
Horizontal_Tail,6.182228,2.918909,0.173626,0.085147
Vertical_Tail,3.910014,1.804827,0.116952,0.056072
Totals,68.524823,32.298317,8.167430,4.005239

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Fuselage_Surf0,23.472481,11.075674
Main_Wing_Surf0,16.606519,15.745016
Main_Wing_Surf1,16.606519,0.000000
Canard_Surf0,0.873531,0.753890
Canard_Surf1,0.873531,0.000000
Horizontal_Tail_Surf0,3.091114,2.918909
Horizontal_Tail_Surf1,3.091114,0.000000
Vertical_Tail_Surf0,3.910014,1.804827
_Surf0,0.000000,0.000000
