#    x        Cp  
   1.00000  0.21781
   0.99286  0.19045
   0.98019  0.14232
   0.96525  0.09686
   0.94859  0.05514
   0.93088  0.01798
   0.91264 -0.01499
   0.89413 -0.04433
   0.87550 -0.07078
   0.85680 -0.09551
   0.83807 -0.11806
   0.81931 -0.13937
   0.80053 -0.15966
   0.78174 -0.17881
   0.76294 -0.19740
   0.74413 -0.21510
   0.72531 -0.23238
   0.70648 -0.24940
   0.68765 -0.26577
   0.66882 -0.28209
   0.64999 -0.29803
   0.63116 -0.31383
   0.61234 -0.32936
   0.59352 -0.34485
   0.57471 -0.36011
   0.55592 -0.37508
   0.53714 -0.38988
   0.51837 -0.40398
   0.49963 -0.41724
   0.48091 -0.42925
   0.46222 -0.44267
   0.44356 -0.47915
   0.42496 -0.50948
   0.40644 -0.52310
   0.38807 -0.54135
   0.36982 -0.55806
   0.35166 -0.57372
   0.33356 -0.58824
   0.31554 -0.60160
   0.29759 -0.61406
   0.27973 -0.62511
   0.26197 -0.63500
   0.24431 -0.64378
   0.22679 -0.65089
   0.20941 -0.65678
   0.19220 -0.66055
   0.17521 -0.66282
   0.15847 -0.66288
   0.14206 -0.66027
   0.12607 -0.65522
   0.11063 -0.64727
   0.09593 -0.63562
   0.08220 -0.62025
   0.06968 -0.60064
   0.05855 -0.57639
   0.04888 -0.54829
   0.04063 -0.51489
   0.03364 -0.47687
   0.02772 -0.43275
   0.02271 -0.38146
   0.01843 -0.32315
   0.01478 -0.25316
   0.01165 -0.17350
   0.00897 -0.07744
   0.00668  0.03486
   0.00476  0.16460
   0.00318  0.31422
   0.00192  0.47748
   0.00098  0.64440
   0.00036  0.79982
   0.00005  0.91817
   0.00002  0.98644
   0.00028  0.99624
   0.00087  0.94104
   0.00181  0.83051
   0.00310  0.68986
   0.00474  0.53929
   0.00674  0.39950
   0.00909  0.27908
   0.01183  0.17402
   0.01498  0.08889
   0.01860  0.01839
   0.02278 -0.03752
   0.02762 -0.08417
   0.03327 -0.12082
   0.03989 -0.14895
   0.04771 -0.17083
   0.05694 -0.18569
   0.06774 -0.19534
   0.08017 -0.19959
   0.09412 -0.19950
   0.10935 -0.19585
   0.12556 -0.18969
   0.14250 -0.18210
   0.15997 -0.17300
   0.17782 -0.16327
   0.19597 -0.15337
   0.21435 -0.14318
   0.23292 -0.13309
   0.25164 -0.12327
   0.27049 -0.11363
   0.28946 -0.10432
   0.30853 -0.09564
   0.32768 -0.08744
   0.34691 -0.08014
   0.36620 -0.07359
   0.38551 -0.06853
   0.40480 -0.06671
   0.42402 -0.06612
   0.44324 -0.05523
   0.46247 -0.03922
   0.48173 -0.03473
   0.50103 -0.03101
   0.52035 -0.02680
   0.53970 -0.02166
   0.55907 -0.01633
   0.57847 -0.01045
   0.59788 -0.00474
   0.61732  0.00111
   0.63677  0.00699
   0.65624  0.01286
   0.67572  0.01872
   0.69521  0.02459
   0.71470  0.03041
   0.73421  0.03651
   0.75371  0.04246
   0.77322  0.04866
   0.79273  0.05522
   0.81224  0.06195
   0.83174  0.06908
   0.85122  0.07691
   0.87069  0.08536
   0.89010  0.09501
   0.90939  0.10575
   0.92843  0.11882
   0.94689  0.13429
   0.96423  0.15343
   0.97969  0.17629
   0.99272  0.20613
   1.00000  0.21781
