#    x        Cp  
   1.00000  0.21198
   0.99286  0.19044
   0.98019  0.15058
   0.96525  0.10721
   0.94859  0.06344
   0.93088  0.02175
   0.91264 -0.01678
   0.89413 -0.05205
   0.87550 -0.08447
   0.85680 -0.11503
   0.83807 -0.14344
   0.81931 -0.17044
   0.80053 -0.19640
   0.78174 -0.22121
   0.76294 -0.24547
   0.74413 -0.26888
   0.72531 -0.29188
   0.70648 -0.31472
   0.68765 -0.33707
   0.66882 -0.35940
   0.64999 -0.38156
   0.63116 -0.40382
   0.61234 -0.42601
   0.59352 -0.44846
   0.57471 -0.47099
   0.55592 -0.49374
   0.53714 -0.51696
   0.51837 -0.54051
   0.49963 -0.56461
   0.48091 -0.58929
   0.46222 -0.61465
   0.44356 -0.64107
   0.42496 -0.66883
   0.40644 -0.69906
   0.38807 -0.73303
   0.36982 -0.76245
   0.35166 -0.79089
   0.33356 -0.81819
   0.31554 -0.84478
   0.29759 -0.87109
   0.27973 -0.89684
   0.26197 -0.92176
   0.24431 -0.94567
   0.22679 -0.96779
   0.20941 -0.98854
   0.19220 -1.01392
   0.17521 -1.07035
   0.15847 -1.08950
   0.14206 -1.11486
   0.12607 -1.14284
   0.11063 -1.17240
   0.09593 -1.20399
   0.08220 -1.23669
   0.06968 -1.27094
   0.05855 -1.30581
   0.04888 -1.34160
   0.04063 -1.37570
   0.03364 -1.40795
   0.02772 -1.43776
   0.02271 -1.46223
   0.01843 -1.48119
   0.01478 -1.49075
   0.01165 -1.48920
   0.00897 -1.46746
   0.00668 -1.42255
   0.00476 -1.34557
   0.00318 -1.21928
   0.00192 -1.04072
   0.00098 -0.80265
   0.00036 -0.50543
   0.00005 -0.18220
   0.00002  0.13593
   0.00028  0.43658
   0.00087  0.69273
   0.00181  0.87473
   0.00310  0.97242
   0.00474  0.99998
   0.00674  0.97772
   0.00909  0.92548
   0.01183  0.85783
   0.01498  0.78376
   0.01860  0.70830
   0.02278  0.63503
   0.02762  0.56444
   0.03327  0.49901
   0.03989  0.43652
   0.04771  0.37985
   0.05694  0.32788
   0.06774  0.28138
   0.08017  0.24119
   0.09412  0.20741
   0.10935  0.17993
   0.12556  0.15819
   0.14250  0.14108
   0.15997  0.12789
   0.17782  0.11780
   0.19597  0.11022
   0.21435  0.10450
   0.23292  0.10032
   0.25164  0.09720
   0.27049  0.09509
   0.28946  0.09356
   0.30853  0.09232
   0.32768  0.09143
   0.34691  0.09055
   0.36620  0.08949
   0.38551  0.08786
   0.40480  0.08394
   0.42402  0.08147
   0.44324  0.08036
   0.46247  0.08026
   0.48173  0.08049
   0.50103  0.08129
   0.52035  0.08220
   0.53970  0.08336
   0.55907  0.08466
   0.57847  0.08620
   0.59788  0.08773
   0.61732  0.08930
   0.63677  0.09104
   0.65624  0.09272
   0.67572  0.09452
   0.69521  0.09633
   0.71470  0.09813
   0.73421  0.10016
   0.75371  0.10209
   0.77322  0.10423
   0.79273  0.10658
   0.81224  0.10906
   0.83174  0.11180
   0.85122  0.11496
   0.87069  0.11842
   0.89010  0.12243
   0.90939  0.12679
   0.92843  0.13156
   0.94689  0.13554
   0.96423  0.14916
   0.97969  0.18047
   0.99272  0.20974
   1.00000  0.21198
