#    x        Cp  
   1.00000  0.21779
   0.99286  0.18993
   0.98019  0.14137
   0.96525  0.09655
   0.94859  0.05592
   0.93088  0.02002
   0.91264 -0.01166
   0.89413 -0.03975
   0.87550 -0.06496
   0.85680 -0.08852
   0.83807 -0.10990
   0.81931 -0.13006
   0.80053 -0.14920
   0.78174 -0.16723
   0.76294 -0.18464
   0.74413 -0.20122
   0.72531 -0.21728
   0.70648 -0.23313
   0.68765 -0.24825
   0.66882 -0.26335
   0.64999 -0.27786
   0.63116 -0.29235
   0.61234 -0.30630
   0.59352 -0.32022
   0.57471 -0.33346
   0.55592 -0.34625
   0.53714 -0.35800
   0.51837 -0.36844
   0.49963 -0.37963
   0.48091 -0.40636
   0.46222 -0.43957
   0.44356 -0.44888
   0.42496 -0.46247
   0.40644 -0.47849
   0.38807 -0.49665
   0.36982 -0.51191
   0.35166 -0.52569
   0.33356 -0.53787
   0.31554 -0.54878
   0.29759 -0.55834
   0.27973 -0.56675
   0.26197 -0.57347
   0.24431 -0.57878
   0.22679 -0.58239
   0.20941 -0.58411
   0.19220 -0.58411
   0.17521 -0.58148
   0.15847 -0.57636
   0.14206 -0.56864
   0.12607 -0.55741
   0.11063 -0.54215
   0.09593 -0.52348
   0.08220 -0.49928
   0.06968 -0.47074
   0.05855 -0.43682
   0.04888 -0.39805
   0.04063 -0.35455
   0.03364 -0.30536
   0.02772 -0.25060
   0.02271 -0.19006
   0.01843 -0.12058
   0.01478 -0.04258
   0.01165  0.04555
   0.00897  0.14682
   0.00668  0.26182
   0.00476  0.38946
   0.00318  0.53024
   0.00192  0.67241
   0.00098  0.81018
   0.00036  0.92052
   0.00005  0.98681
   0.00002  0.99664
   0.00028  0.94465
   0.00087  0.82963
   0.00181  0.67013
   0.00310  0.49369
   0.00474  0.32442
   0.00674  0.17606
   0.00909  0.05485
   0.01183 -0.04446
   0.01498 -0.12002
   0.01860 -0.18002
   0.02278 -0.22487
   0.02762 -0.25915
   0.03327 -0.28326
   0.03989 -0.30031
   0.04771 -0.30927
   0.05694 -0.31313
   0.06774 -0.31140
   0.08017 -0.30556
   0.09412 -0.29624
   0.10935 -0.28398
   0.12556 -0.27076
   0.14250 -0.25650
   0.15997 -0.24198
   0.17782 -0.22739
   0.19597 -0.21313
   0.21435 -0.19917
   0.23292 -0.18578
   0.25164 -0.17301
   0.27049 -0.16092
   0.28946 -0.14970
   0.30853 -0.14044
   0.32768 -0.13468
   0.34691 -0.10490
   0.36620 -0.09725
   0.38551 -0.09305
   0.40480 -0.09205
   0.42402 -0.08859
   0.44324 -0.08280
   0.46247 -0.07629
   0.48173 -0.06940
   0.50103 -0.06216
   0.52035 -0.05500
   0.53970 -0.04779
   0.55907 -0.04057
   0.57847 -0.03332
   0.59788 -0.02629
   0.61732 -0.01923
   0.63677 -0.01228
   0.65624 -0.00533
   0.67572  0.00152
   0.69521  0.00836
   0.71470  0.01514
   0.73421  0.02216
   0.75371  0.02905
   0.77322  0.03615
   0.79273  0.04363
   0.81224  0.05128
   0.83174  0.05935
   0.85122  0.06813
   0.87069  0.07758
   0.89010  0.08826
   0.90939  0.10009
   0.92843  0.11431
   0.94689  0.13098
   0.96423  0.15132
   0.97969  0.17523
   0.99272  0.20518
   1.00000  0.21779
