#    x        Cp  
   1.00000  0.21689
   0.99286  0.19095
   0.98019  0.14450
   0.96525  0.09855
   0.94859  0.05525
   0.93088  0.01598
   0.91264 -0.01924
   0.89413 -0.05083
   0.87550 -0.07947
   0.85680 -0.10635
   0.83807 -0.13103
   0.81931 -0.15441
   0.80053 -0.17676
   0.78174 -0.19799
   0.76294 -0.21866
   0.74413 -0.23846
   0.72531 -0.25785
   0.70648 -0.27700
   0.68765 -0.29560
   0.66882 -0.31419
   0.64999 -0.33239
   0.63116 -0.35067
   0.61234 -0.36871
   0.59352 -0.38691
   0.57471 -0.40496
   0.55592 -0.42320
   0.53714 -0.44149
   0.51837 -0.45986
   0.49963 -0.47853
   0.48091 -0.49715
   0.46222 -0.51609
   0.44356 -0.53474
   0.42496 -0.55354
   0.40644 -0.57291
   0.38807 -0.59675
   0.36982 -0.63679
   0.35166 -0.66911
   0.33356 -0.68240
   0.31554 -0.69841
   0.29759 -0.71481
   0.27973 -0.73110
   0.26197 -0.74652
   0.24431 -0.76125
   0.22679 -0.77531
   0.20941 -0.78829
   0.19220 -0.80007
   0.17521 -0.81096
   0.15847 -0.82064
   0.14206 -0.82885
   0.12607 -0.83571
   0.11063 -0.84120
   0.09593 -0.84424
   0.08220 -0.84577
   0.06968 -0.84455
   0.05855 -0.84027
   0.04888 -0.83296
   0.04063 -0.82232
   0.03364 -0.80699
   0.02772 -0.78543
   0.02271 -0.76034
   0.01843 -0.72229
   0.01478 -0.67731
   0.01165 -0.61926
   0.00897 -0.54151
   0.00668 -0.44436
   0.00476 -0.32119
   0.00318 -0.16820
   0.00192  0.01467
   0.00098  0.22604
   0.00036  0.44341
   0.00005  0.64979
   0.00002  0.81875
   0.00028  0.93855
   0.00087  0.99635
   0.00181  0.98586
   0.00310  0.92012
   0.00474  0.82199
   0.00674  0.71195
   0.00909  0.60311
   0.01183  0.50035
   0.01498  0.40934
   0.01860  0.32830
   0.02278  0.25839
   0.02762  0.19668
   0.03327  0.14331
   0.03989  0.09765
   0.04771  0.05871
   0.05694  0.02565
   0.06774 -0.00022
   0.08017 -0.02084
   0.09412 -0.03556
   0.10935 -0.04501
   0.12556 -0.05106
   0.14250 -0.05364
   0.15997 -0.05415
   0.17782 -0.05225
   0.19597 -0.04971
   0.21435 -0.04604
   0.23292 -0.04172
   0.25164 -0.03706
   0.27049 -0.03216
   0.28946 -0.02725
   0.30853 -0.02241
   0.32768 -0.01779
   0.34691 -0.01358
   0.36620 -0.00999
   0.38551 -0.00729
   0.40480 -0.00707
   0.42402 -0.00575
   0.44324 -0.00316
   0.46247  0.00025
   0.48173  0.00389
   0.50103  0.00793
   0.52035  0.01198
   0.53970  0.01616
   0.55907  0.02028
   0.57847  0.02444
   0.59788  0.02829
   0.61732  0.03171
   0.63677  0.03383
   0.65624  0.03715
   0.67572  0.05719
   0.69521  0.06229
   0.71470  0.06427
   0.73421  0.06684
   0.75371  0.06981
   0.77322  0.07352
   0.79273  0.07789
   0.81224  0.08258
   0.83174  0.08776
   0.85122  0.09371
   0.87069  0.10022
   0.89010  0.10790
   0.90939  0.11657
   0.92843  0.12743
   0.94689  0.14061
   0.96423  0.15737
   0.97969  0.17797
   0.99272  0.20751
   1.00000  0.21689
