#    x        Cp  
   1.00000  0.21785
   0.99286  0.18993
   0.98019  0.14129
   0.96525  0.09656
   0.94859  0.05607
   0.93088  0.02033
   0.91264 -0.01118
   0.89413 -0.03910
   0.87550 -0.06416
   0.85680 -0.08757
   0.83807 -0.10878
   0.81931 -0.12881
   0.80053 -0.14778
   0.78174 -0.16567
   0.76294 -0.18294
   0.74413 -0.19935
   0.72531 -0.21529
   0.70648 -0.23094
   0.68765 -0.24593
   0.66882 -0.26082
   0.64999 -0.27518
   0.63116 -0.28943
   0.61234 -0.30323
   0.59352 -0.31687
   0.57471 -0.32980
   0.55592 -0.34214
   0.53714 -0.35341
   0.51837 -0.36336
   0.49963 -0.37518
   0.48091 -0.41215
   0.46222 -0.43259
   0.44356 -0.44310
   0.42496 -0.45696
   0.40644 -0.47301
   0.38807 -0.49092
   0.36982 -0.50601
   0.35166 -0.51943
   0.33356 -0.53132
   0.31554 -0.54191
   0.29759 -0.55121
   0.27973 -0.55919
   0.26197 -0.56558
   0.24431 -0.57029
   0.22679 -0.57369
   0.20941 -0.57462
   0.19220 -0.57427
   0.17521 -0.57095
   0.15847 -0.56529
   0.14206 -0.55693
   0.12607 -0.54473
   0.11063 -0.52917
   0.09593 -0.50873
   0.08220 -0.48399
   0.06968 -0.45408
   0.05855 -0.41926
   0.04888 -0.37897
   0.04063 -0.33425
   0.03364 -0.28378
   0.02772 -0.22840
   0.02271 -0.16578
   0.01843 -0.09547
   0.01478 -0.01614
   0.01165  0.07283
   0.00897  0.17371
   0.00668  0.28850
   0.00476  0.41675
   0.00318  0.55421
   0.00192  0.69554
   0.00098  0.82743
   0.00036  0.93281
   0.00005  0.99144
   0.00002  0.99387
   0.00028  0.93302
   0.00087  0.81133
   0.00181  0.64484
   0.00310  0.46443
   0.00474  0.29289
   0.00674  0.14508
   0.00909  0.02306
   0.01183 -0.07350
   0.01498 -0.14882
   0.01860 -0.20746
   0.02278 -0.25081
   0.02762 -0.28287
   0.03327 -0.30512
   0.03989 -0.32036
   0.04771 -0.32810
   0.05694 -0.32998
   0.06774 -0.32691
   0.08017 -0.31970
   0.09412 -0.30893
   0.10935 -0.29585
   0.12556 -0.28132
   0.14250 -0.26640
   0.15997 -0.25117
   0.17782 -0.23584
   0.19597 -0.22106
   0.21435 -0.20654
   0.23292 -0.19278
   0.25164 -0.17965
   0.27049 -0.16738
   0.28946 -0.15631
   0.30853 -0.14832
   0.32768 -0.13124
   0.34691 -0.10936
   0.36620 -0.10297
   0.38551 -0.09867
   0.40480 -0.09700
   0.42402 -0.09302
   0.44324 -0.08703
   0.46247 -0.08011
   0.48173 -0.07316
   0.50103 -0.06564
   0.52035 -0.05835
   0.53970 -0.05092
   0.55907 -0.04359
   0.57847 -0.03615
   0.59788 -0.02898
   0.61732 -0.02183
   0.63677 -0.01470
   0.65624 -0.00766
   0.67572 -0.00066
   0.69521  0.00630
   0.71470  0.01318
   0.73421  0.02033
   0.75371  0.02734
   0.77322  0.03456
   0.79273  0.04215
   0.81224  0.04993
   0.83174  0.05812
   0.85122  0.06701
   0.87069  0.07659
   0.89010  0.08740
   0.90939  0.09937
   0.92843  0.11374
   0.94689  0.13056
   0.96423  0.15106
   0.97969  0.17512
   0.99272  0.20512
   1.00000  0.21785
