#    x        Cp  
   1.00000  0.41289
   0.99276  0.24606
   0.97987  0.18313
   0.96465  0.13776
   0.94764  0.10261
   0.92954  0.07412
   0.91089  0.04986
   0.89197  0.02921
   0.87294  0.01075
   0.85385 -0.00580
   0.83472 -0.02113
   0.81558 -0.03528
   0.79643 -0.04857
   0.77727 -0.06130
   0.75811 -0.07342
   0.73895 -0.08535
   0.71978 -0.09662
   0.70061 -0.10786
   0.68145 -0.11881
   0.66229 -0.12975
   0.64314 -0.14041
   0.62400 -0.15117
   0.60487 -0.16179
   0.58575 -0.17260
   0.56665 -0.18318
   0.54757 -0.19395
   0.52850 -0.20463
   0.50946 -0.21553
   0.49045 -0.22634
   0.47146 -0.23729
   0.45250 -0.24830
   0.43358 -0.25931
   0.41470 -0.27031
   0.39587 -0.28128
   0.37708 -0.29240
   0.35834 -0.30341
   0.33966 -0.31438
   0.32106 -0.32508
   0.30252 -0.33590
   0.28407 -0.34625
   0.26572 -0.35644
   0.24748 -0.36639
   0.22937 -0.37567
   0.21141 -0.38452
   0.19363 -0.39254
   0.17607 -0.39966
   0.15879 -0.40577
   0.14187 -0.41022
   0.12542 -0.41298
   0.10962 -0.41321
   0.09469 -0.41053
   0.08088 -0.40414
   0.06844 -0.39363
   0.05753 -0.37806
   0.04813 -0.35734
   0.04014 -0.33079
   0.03336 -0.29818
   0.02761 -0.25804
   0.02270 -0.21031
   0.01849 -0.15176
   0.01486 -0.08184
   0.01172  0.00182
   0.00902  0.10236
   0.00670  0.22123
   0.00475  0.35891
   0.00314  0.51222
   0.00186  0.67127
   0.00093  0.81923
   0.00032  0.93269
   0.00003  0.99259
   0.00003  0.99257
   0.00032  0.93276
   0.00093  0.81898
   0.00186  0.67135
   0.00314  0.51219
   0.00475  0.35887
   0.00670  0.22101
   0.00902  0.10216
   0.01172  0.00223
   0.01486 -0.08226
   0.01849 -0.15187
   0.02270 -0.21012
   0.02761 -0.25817
   0.03336 -0.29822
   0.04014 -0.33091
   0.04813 -0.35732
   0.05753 -0.37818
   0.06844 -0.39364
   0.08088 -0.40418
   0.09469 -0.41064
   0.10962 -0.41319
   0.12542 -0.41295
   0.14187 -0.41028
   0.15879 -0.40582
   0.17607 -0.39971
   0.19363 -0.39255
   0.21141 -0.38452
   0.22937 -0.37572
   0.24748 -0.36634
   0.26572 -0.35653
   0.28407 -0.34630
   0.30252 -0.33589
   0.32106 -0.32518
   0.33966 -0.31430
   0.35834 -0.30348
   0.37708 -0.29229
   0.39587 -0.28145
   0.41470 -0.27029
   0.43358 -0.25937
   0.45250 -0.24824
   0.47146 -0.23730
   0.49045 -0.22637
   0.50946 -0.21551
   0.52850 -0.20475
   0.54757 -0.19397
   0.56665 -0.18320
   0.58575 -0.17256
   0.60487 -0.16178
   0.62400 -0.15125
   0.64314 -0.14050
   0.66229 -0.12968
   0.68145 -0.11886
   0.70061 -0.10789
   0.71978 -0.09664
   0.73895 -0.08528
   0.75811 -0.07347
   0.77727 -0.06135
   0.79643 -0.04856
   0.81558 -0.03531
   0.83472 -0.02116
   0.85385 -0.00579
   0.87294  0.01063
   0.89197  0.02920
   0.91089  0.04992
   0.92954  0.07398
   0.94764  0.10269
   0.96465  0.13753
   0.97987  0.18332
   0.99276  0.24575
   1.00000  0.41289
