#    x        Cp  
   1.00000  0.43111
   0.99276  0.24696
   0.97987  0.17064
   0.96465  0.11153
   0.94764  0.06208
   0.92954  0.02010
   0.91089 -0.01744
   0.89197 -0.05137
   0.87294 -0.08280
   0.85385 -0.11189
   0.83472 -0.14009
   0.81558 -0.16682
   0.79643 -0.19289
   0.77727 -0.21858
   0.75811 -0.24382
   0.73895 -0.26876
   0.71978 -0.29378
   0.70061 -0.31870
   0.68145 -0.34419
   0.66229 -0.36953
   0.64314 -0.39524
   0.62400 -0.42158
   0.60487 -0.44849
   0.58575 -0.47602
   0.56665 -0.50412
   0.54757 -0.53307
   0.52850 -0.56297
   0.50946 -0.59369
   0.49045 -0.62568
   0.47146 -0.65866
   0.45250 -0.69300
   0.43358 -0.72887
   0.41470 -0.76606
   0.39587 -0.80499
   0.37708 -0.84580
   0.35834 -0.88881
   0.33966 -0.93392
   0.32106 -0.98156
   0.30252 -1.03229
   0.28407 -1.08586
   0.26572 -1.14340
   0.24748 -1.20519
   0.22937 -1.27163
   0.21141 -1.34400
   0.19363 -1.42289
   0.17607 -1.50990
   0.15879 -1.60677
   0.14187 -1.71494
   0.12542 -1.83740
   0.10962 -1.97617
   0.09469 -2.13405
   0.08088 -2.31271
   0.06844 -2.51281
   0.05753 -2.73299
   0.04813 -2.97209
   0.04014 -3.22811
   0.03336 -3.50102
   0.02761 -3.79031
   0.02270 -4.09696
   0.01849 -4.41934
   0.01486 -4.75683
   0.01172 -5.10606
   0.00902 -5.45523
   0.00670 -5.78501
   0.00475 -6.06502
   0.00314 -6.24378
   0.00186 -6.25909
   0.00093 -6.04463
   0.00032 -5.57380
   0.00003 -4.88629
   0.00003 -4.09120
   0.00032 -3.21509
   0.00093 -2.29920
   0.00186 -1.44980
   0.00314 -0.73132
   0.00475 -0.16844
   0.00670  0.24899
   0.00902  0.54520
   0.01172  0.74651
   0.01486  0.87709
   0.01849  0.95420
   0.02270  0.99172
   0.02761  0.99957
   0.03336  0.98498
   0.04014  0.95337
   0.04813  0.90899
   0.05753  0.85552
   0.06844  0.79668
   0.08088  0.73595
   0.09469  0.67630
   0.10962  0.62019
   0.12542  0.56863
   0.14187  0.52213
   0.15879  0.48050
   0.17607  0.44358
   0.19363  0.41064
   0.21141  0.38133
   0.22937  0.35523
   0.24748  0.33198
   0.26572  0.31118
   0.28407  0.29263
   0.30252  0.27591
   0.32106  0.26104
   0.33966  0.24762
   0.35834  0.23552
   0.37708  0.22480
   0.39587  0.21485
   0.41470  0.20614
   0.43358  0.19826
   0.45250  0.19101
   0.47146  0.18468
   0.49045  0.17882
   0.50946  0.17364
   0.52850  0.16883
   0.54757  0.16459
   0.56665  0.16097
   0.58575  0.15748
   0.60487  0.15453
   0.62400  0.15193
   0.64314  0.14952
   0.66229  0.14775
   0.68145  0.14611
   0.70061  0.14490
   0.71978  0.14405
   0.73895  0.14354
   0.75811  0.14363
   0.77727  0.14386
   0.79643  0.14497
   0.81558  0.14657
   0.83472  0.14871
   0.85385  0.15215
   0.87294  0.15623
   0.89197  0.16239
   0.91089  0.16985
   0.92954  0.18039
   0.94764  0.19431
   0.96465  0.21453
   0.97987  0.24391
   0.99276  0.28972
   1.00000  0.43111
