#    x        Cp  
   1.00000 -0.12666
   0.97779 -0.13236
   0.95048 -0.13965
   0.91312 -0.15024
   0.86653 -0.16457
   0.81174 -0.18335
   0.75000 -0.20803
   0.68267 -0.24066
   0.61126 -0.28079
   0.53737 -0.31923
   0.46264 -0.34182
   0.38874 -0.35327
   0.31733 -0.36699
   0.25000 -0.37443
   0.18825 -0.37894
   0.13347 -0.37874
   0.08688 -0.36482
   0.04952 -0.31501
   0.02221 -0.25876
   0.00558  0.17183
   0.00000  0.92141
   0.00558  0.59200
   0.02221  0.02417
   0.04952  0.00551
   0.08688 -0.06369
   0.13347 -0.10659
   0.18825 -0.14012
   0.25000 -0.16319
   0.31733 -0.18608
   0.38874 -0.20147
   0.46264 -0.22069
   0.53737 -0.23846
   0.61126 -0.23669
   0.68267 -0.21341
   0.75000 -0.18769
   0.81174 -0.16601
   0.86653 -0.14978
   0.91312 -0.13943
   0.95048 -0.13377
   0.97779 -0.13064
   1.00000 -0.12666
