#    x        Cp  
   1.00000 -0.14866
   0.97779 -0.15335
   0.95048 -0.15942
   0.91312 -0.16824
   0.86653 -0.18021
   0.81174 -0.19602
   0.75000 -0.21674
   0.68267 -0.24413
   0.61126 -0.28016
   0.53737 -0.32150
   0.46264 -0.35810
   0.38874 -0.38976
   0.31733 -0.42531
   0.25000 -0.45957
   0.18825 -0.49589
   0.13347 -0.53517
   0.08688 -0.57419
   0.04952 -0.60782
   0.02221 -0.61511
   0.00558 -0.47586
   0.00000  0.44035
   0.00558  0.82035
   0.02221  0.30476
   0.04952  0.22933
   0.08688  0.12085
   0.13347  0.04551
   0.18825 -0.01558
   0.25000 -0.06147
   0.31733 -0.10452
   0.38874 -0.13773
   0.46264 -0.17436
   0.53737 -0.21008
   0.61126 -0.22301
   0.68267 -0.20774
   0.75000 -0.18641
   0.81174 -0.16803
   0.86653 -0.15523
   0.91312 -0.14917
   0.95048 -0.14845
   0.97779 -0.14972
   1.00000 -0.14866
